Year,peloton average speed (km/h)
1.903,25.679
1.904,25.265
1.905,27.107
1.906,24.463
1.907,28.470
1.908,28.740
1.909,28.658
1.910,29.099
1.911,27.322
1.912,27.763
1.913,26.715
1.914,26.835
1.919,24.056
1.920,24.072
1.921,24.724
1.922,24.196
1.923,24.233
1.924,24.250
1.925,24.820
1.926,24.273
1.927,27.224
1.928,28.400
1.929,28.319
1.930,28.000
1.931,28.735
1.932,29.047
1.933,29.818
1.934,30.360
1.935,30.650
1.936,31.108
1.937,31.768
1.938,31.565
1.939,31.986
1.947,31.412
1.948,33.442
1.949,32.121
1.950,32.778
1.951,32.949
1.952,32.233
1.953,34.593
1.954,33.229
1.955,34.446
1.956,36.268
1.957,34.520
1.958,36.919
1.959,35.474
1.960,37.210
1.961,36.033
1.962,37.317
1.963,37.092
1.964,35.419
1.965,35.886
1.966,36.760
1.967,34.756
1.968,33.556
1.969,35.409
1.970,35.589
1.971,38.084
1.972,35.514
1.973,33.407
1.974,35.241
1.975,34.906
1.976,34.518
1.977,35.419
1.978,36.084
1.979,36.513
1.980,35.144
1.981,38.960
1.982,38.059
1.983,36.230
1.984,35.882
1.985,36.232
1.986,37.020
1.987,36.645
1.988,38.909
1.989,37.487
1.990,38.621
1.991,38.747
1.992,39.504
1.993,38.709
1.994,38.383
1.995,39.193
1.996,39.227
1.997,39.237
1.998,39.983
1.999,40.276
2.000,39.569
2.001,40.070
2.002,39.920
2.003,40.940
2.004,40.553
2.005,41.654
2.006,40.784
2.007,39.228
2.008,40.492
2.009,40.315
2.010,39.594
2.011,39.788
2.012,39.883
2.013,40.542
2.014,40.662
2.015,39.567
2.016,39.571
2.017,40.995
2.018,40.206
